Marital status,Daytime/evening attendance,Nationality,course_name,Previous qualification,Mother's qualification,Father's qualification,Gender,Age at enrollment,enrollement_year,Number of semesters,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,1,15,Agronomy,1,23,27,0,21,2021,5,18,18,11.88888889,13,13,11.46153846,15.5,2.8,-4.06,Graduate
1,1,2,Equiniculture,3,13,28,0,23,2021,5,6,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,1,Communication Design,1,13,28,0,21,2019,5,6,4,13,6,4,11.6,10.8,1.4,1.74,Dropout
1,1,1,Nursing,15,1,1,0,24,2018,3,7,7,16.88571429,8,8,15.74444444,16.2,0.3,-0.92,Graduate
1,0,15,Social Service (evening attendance),1,1,1,0,27,2018,3,6,6,12.5,6,6,12.33333333,15.5,2.8,-4.06,Graduate
1,1,19,Nursing,1,1,27,0,18,2019,3,7,7,13.05555556,8,8,15.8125,13.9,-0.3,0.79,Graduate
1,1,19,Animation and Multimedia Design,1,7,1,0,21,2021,5,0,0,0,0,0,0,9.4,-0.8,-3.12,Dropout
1,1,1,Equiniculture,1,13,3,0,19,2018,3,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,1,9,Nursing,1,23,14,0,19,2021,3,8,7,12.35571429,8,7,12.35571429,10.8,1.4,1.74,Graduate
1,1,5,Veterinary Nursing,1,13,28,0,18,2018,3,6,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,1,Nursing,1,23,27,0,18,2018,3,7,5,11.98,7,5,11.98,7.6,2.6,0.32,Enrolled
1,1,5,Basic Education,1,22,27,0,20,2019,3,7,7,13.85714286,7,7,12.57142857,8.9,1.4,3.51,Graduate
2,0,10,Social Service (evening attendance),1,1,27,0,24,2018,3,6,5,13,6,6,14.16666667,9.4,-0.8,-3.12,Graduate
1,1,14,Communication Design,1,1,1,0,20,2019,3,6,6,12.83333333,6,6,11.16666667,12.4,0.5,1.79,Graduate
1,1,1,Management,1,1,14,0,20,2018,3,5,4,11,5,5,13.2,12.4,0.5,1.79,Enrolled
1,1,2,Nursing,1,13,27,0,19,2019,5,8,7,12.35714286,8,7,12.35714286,12.7,3.7,-1.7,Graduate
1,1,14,Nursing,1,1,27,0,18,2020,3,8,7,13.85714286,8,7,13.85714286,12.7,3.7,-1.7,Graduate
1,1,4,Social Service,3,22,27,0,20,2021,3,6,6,12.33333333,6,6,10.66666667,9.4,-0.8,-3.12,Graduate
1,1,17,Nursing,1,22,27,0,20,2019,5,7,7,12.84714286,8,8,13.78888889,16.2,0.3,-0.92,Graduate
1,1,1,Nursing,1,13,27,0,19,2022,5,7,6,12.34,8,8,13.01875,11.1,0.6,2.02,Graduate
1,1,19,Veterinary Nursing,14,3,1,0,19,2019,3,6,5,12.66666667,6,4,11.75,12.4,0.5,1.79,Enrolled
1,1,8,Journalism and Communication,1,3,14,0,20,2022,5,6,6,13.83333333,6,6,12.5,12.7,3.7,-1.7,Graduate
1,1,17,Management,1,1,28,0,19,2021,5,5,2,10.75,5,2,10,13.9,-0.3,0.79,Dropout
1,1,1,Basic Education,1,23,28,0,19,2018,5,6,4,13.25,6,4,10.25,9.4,-0.8,-3.12,Dropout
1,1,20,Nursing,1,23,27,0,18,2018,3,8,8,13.73125,8,8,13.73125,9.4,-0.8,-3.12,Graduate
1,1,16,Communication Design,1,23,27,0,23,2018,5,6,6,13.33333333,6,3,12.66666667,11.1,0.6,2.02,Dropout
1,1,5,Basic Education,1,13,14,0,21,2022,3,6,5,12,6,5,10.8,12.7,3.7,-1.7,Dropout
1,0,16,Social Service (evening attendance),14,22,28,0,23,2019,3,9,9,10.88888889,8,6,11.33333333,11.1,0.6,2.02,Graduate
1,1,1,Nursing,1,13,27,0,19,2022,5,7,7,13.025,8,8,13.81111111,13.9,-0.3,0.79,Graduate
1,1,13,Journalism and Communication,1,1,28,0,18,2019,3,6,6,13,6,6,14.16666667,12.4,0.5,1.79,Graduate
1,1,19,Journalism and Communication,1,13,27,0,19,2021,3,6,5,11.8,6,5,12,10.8,1.4,1.74,Graduate
1,1,1,Nursing,1,13,27,0,25,2020,5,8,7,12.04285714,8,7,12.04285714,12.7,3.7,-1.7,Graduate
1,1,21,Basic Education,1,1,28,0,19,2020,3,6,5,12.2,6,4,13,9.4,-0.8,-3.12,Enrolled
1,1,10,Nursing,1,1,14,0,19,2022,3,7,7,12.8375,8,8,15.5,13.9,-0.3,0.79,Graduate
1,1,1,Oral Hygiene,1,23,28,0,24,2019,3,7,7,11,8,7,11.7,12.7,3.7,-1.7,Graduate
1,1,1,Advertising and Marketing Management,1,22,27,0,18,2022,5,6,6,13.5,6,5,14,8.9,1.4,3.51,Graduate
1,1,10,Social Service,1,22,27,0,19,2021,5,6,6,12.125,6,6,12.71428571,16.2,0.3,-0.92,Graduate
1,1,1,Nursing,1,22,27,0,18,2018,5,8,7,12.62857143,8,7,12.62857143,12.7,3.7,-1.7,Graduate
1,0,19,Management (evening attendance),1,23,1,0,27,2020,3,5,3,10.66666667,5,4,11.4,10.8,1.4,1.74,Enrolled
1,1,1,Social Service,1,1,1,0,19,2019,3,6,5,11.2,6,5,11.6,15.5,2.8,-4.06,Graduate
1,1,5,Journalism and Communication,1,1,1,0,18,2020,5,6,6,12.66666667,6,6,11.83333333,12.7,3.7,-1.7,Dropout
2,1,1,Advertising and Marketing Management,1,22,27,0,34,2021,3,6,4,13.5,6,0,0,12.7,3.7,-1.7,Dropout
1,1,1,Management,1,22,27,0,18,2018,3,5,3,11.66666667,5,2,11,7.6,2.6,0.32,Enrolled
1,1,11,Management,1,22,28,0,18,2021,3,5,2,10.5,5,3,12.33333333,7.6,2.6,0.32,Enrolled
1,1,14,Nursing,1,22,28,0,18,2020,3,8,8,14.26875,8,8,14.26875,9.4,-0.8,-3.12,Enrolled
1,1,9,Journalism and Communication,1,23,28,0,20,2018,3,6,0,0,6,0,0,8.9,1.4,3.51,Dropout
1,1,1,Management,1,13,27,0,19,2018,5,5,2,10.5,5,3,13.33333333,7.6,2.6,0.32,Enrolled
1,1,20,Social Service,1,22,1,0,21,2018,3,6,5,11.2,6,1,10,7.6,2.6,0.32,Enrolled
2,0,1,Management (evening attendance),3,13,14,0,26,2022,3,5,5,12,5,5,14.83333333,10.8,1.4,1.74,Graduate
1,1,18,Oral Hygiene,1,1,14,0,27,2021,5,7,7,12.22857143,8,8,13.2125,10.8,1.4,1.74,Graduate
1,1,5,Advertising and Marketing Management,1,1,28,0,20,2018,3,5,4,11.5,5,4,10.75,9.4,-0.8,-3.12,Graduate
1,1,5,Social Service,1,13,1,0,18,2021,5,6,6,15.375,6,6,16.42857143,16.2,0.3,-0.92,Graduate
1,1,12,Veterinary Nursing,16,1,1,0,23,2021,5,12,9,13.66666667,9,6,13.5,8.9,1.4,3.51,Enrolled
1,1,1,Nursing,12,1,5,0,24,2022,3,8,7,12.61428571,8,7,12.61428571,12.7,3.7,-1.7,Graduate
1,1,18,Social Service,14,23,28,0,19,2019,5,6,5,12.2,6,6,11.5,13.9,-0.3,0.79,Graduate
1,1,1,Journalism and Communication,1,13,28,0,19,2020,3,6,4,11.75,6,4,11,10.8,1.4,1.74,Graduate
1,1,1,Social Service,1,13,28,0,19,2018,3,6,5,11.4,6,3,10,8.9,1.4,3.51,Enrolled
1,1,16,Social Service,1,22,14,0,18,2022,5,6,5,10.6,6,2,10,7.6,2.6,0.32,Enrolled
1,0,1,Social Service (evening attendance),1,1,28,0,22,2018,3,16,13,10.92307692,13,11,11.45454545,16.2,0.3,-0.92,Graduate
1,1,1,Communication Design,1,1,14,0,20,2021,3,6,5,12.4,6,5,12.4,12.7,3.7,-1.7,Graduate
1,1,4,Agronomy,1,13,14,0,25,2018,5,6,0,0,6,0,0,11.1,0.6,2.02,Dropout
1,1,1,Agronomy,14,1,3,0,21,2022,5,6,6,15.83333333,6,6,15.5,15.5,2.8,-4.06,Graduate
1,1,20,Nursing,1,13,14,0,19,2019,3,7,5,11.8,7,6,11.70833333,11.1,0.6,2.02,Enrolled
1,1,8,Journalism and Communication,1,1,14,0,18,2020,3,6,6,12.57142857,6,6,13.66666667,13.9,-0.3,0.79,Graduate
1,1,1,Advertising and Marketing Management,1,22,27,0,18,2018,5,5,3,12,5,4,13.25,7.6,2.6,0.32,Graduate
1,1,1,Nursing,1,3,3,1,19,2022,5,7,7,13.3625,8,8,14.44444444,13.9,-0.3,0.79,Graduate
1,1,1,Veterinary Nursing,1,3,3,0,19,2021,5,5,5,15.4,5,5,16,10.8,1.4,1.74,Graduate
1,1,5,Journalism and Communication,1,22,28,0,18,2018,3,6,5,12.2,6,4,11.75,10.8,1.4,1.74,Dropout
1,1,14,Social Service,14,23,28,0,20,2022,5,11,11,12.81818182,11,11,13.54545455,12.4,0.5,1.79,Graduate
1,1,4,Nursing,1,1,14,0,19,2021,3,7,0,0,8,0,0,12.4,0.5,1.79,Dropout
1,1,15,Nursing,1,13,27,0,28,2018,3,17,17,13.39473684,17,17,13.55473684,16.2,0.3,-0.92,Graduate
1,1,19,Social Service,1,22,1,0,20,2020,5,6,6,14.25,6,6,11,12.7,3.7,-1.7,Graduate
1,0,1,Social Service (evening attendance),1,22,28,0,30,2021,5,11,9,13.44444444,7,7,14.71428571,7.6,2.6,0.32,Dropout
1,1,1,Nursing,1,1,14,0,19,2022,5,7,7,12.28571429,8,8,11.7375,12.4,0.5,1.79,Graduate
1,1,1,Communication Design,1,13,14,0,22,2021,3,6,6,11.66666667,6,5,13.2,12.7,3.7,-1.7,Graduate
1,1,21,Tourism,1,23,28,0,18,2020,5,6,6,12.16666667,6,6,13.5,11.1,0.6,2.02,Graduate
1,1,9,Basic Education,1,22,27,0,23,2020,5,6,2,10,6,2,11,7.6,2.6,0.32,Dropout
1,1,2,Communication Design,1,1,14,0,18,2018,3,6,6,14,6,6,15,11.1,0.6,2.02,Graduate
1,1,11,Basic Education,1,22,14,0,18,2019,3,6,5,11.83333333,6,4,12,15.5,2.8,-4.06,Enrolled
2,1,1,Journalism and Communication,12,22,27,1,50,2020,5,6,1,15,5,0,0,10.8,1.4,1.74,Dropout
1,1,1,Animation and Multimedia Design,1,3,3,0,19,2019,3,0,0,0,0,0,0,13.9,-0.3,0.79,Graduate
1,1,1,Tourism,1,13,28,0,22,2018,5,6,6,10.83333333,6,6,10.66666667,13.9,-0.3,0.79,Graduate
1,1,9,Social Service,14,1,1,0,23,2019,5,6,6,13.14285714,6,6,14,12.4,0.5,1.79,Graduate
1,1,1,Veterinary Nursing,1,1,1,0,20,2021,5,5,5,14.4,5,5,14,12.7,3.7,-1.7,Dropout
4,1,1,Social Service,12,22,27,0,44,2021,3,6,0,0,6,0,0,13.9,-0.3,0.79,Dropout
4,1,12,Agronomy,12,22,27,1,49,2020,5,12,7,12,12,9,11.22222222,15.5,2.8,-4.06,Graduate
2,0,1,Management (evening attendance),1,22,27,1,46,2021,3,10,9,12.2,10,10,12.8,7.6,2.6,0.32,Graduate
1,1,1,Veterinary Nursing,14,22,27,1,41,2020,3,3,3,12.33333333,2,2,11,12.4,0.5,1.79,Dropout
1,1,1,Nursing,1,23,14,1,18,2021,3,7,7,11.8375,8,8,12.48125,13.9,-0.3,0.79,Graduate
3,0,11,Management (evening attendance),1,22,1,1,43,2018,3,5,5,11.8,5,5,14,9.4,-0.8,-3.12,Graduate
4,1,17,Management,12,22,27,1,70,2019,5,5,0,0,5,0,0,10.8,1.4,1.74,Dropout
4,1,1,Equiniculture,12,22,28,1,48,2022,3,6,0,0,6,0,0,15.5,2.8,-4.06,Dropout
2,1,10,Agronomy,1,22,27,1,41,2018,3,19,19,12.68421053,13,13,12.38461538,15.5,2.8,-4.06,Graduate
1,1,1,Tourism,1,13,14,1,21,2022,3,6,6,12.57142857,6,4,13,12.7,3.7,-1.7,Enrolled
1,1,20,Biofuel Production Technologies,1,23,27,1,35,2019,5,7,3,11.25,7,0,0,16.2,0.3,-0.92,Dropout
2,1,16,Equiniculture,12,2,1,1,44,2021,5,5,4,14,5,4,15.5,10.8,1.4,1.74,Graduate
1,1,19,Management,1,3,1,1,18,2022,3,5,4,13.33333333,5,2,13.5,13.9,-0.3,0.79,Dropout
2,0,4,Social Service (evening attendance),1,22,27,1,45,2020,5,6,6,13.66666667,6,6,13.66666667,7.6,2.6,0.32,Graduate
1,1,1,Tourism,1,3,1,1,20,2021,3,6,3,10,6,5,10.8,15.5,2.8,-4.06,Enrolled
1,1,9,Agronomy,14,1,28,1,22,2019,3,6,5,12.6,6,6,11.71428571,12.4,0.5,1.79,Graduate
1,1,1,Informatics Engineering,1,22,28,1,39,2019,3,5,3,17.33333333,5,1,17,13.9,-0.3,0.79,Dropout
1,1,3,Veterinary Nursing,14,2,2,1,20,2021,3,6,5,13.2,6,3,12,12.4,0.5,1.79,Enrolled
2,1,4,Management,12,22,14,1,49,2018,5,5,3,14,5,3,13.66666667,8.9,1.4,3.51,Dropout
1,1,11,Oral Hygiene,4,5,5,1,43,2022,5,4,4,13.875,1,1,12.5,11.1,0.6,2.02,Dropout
2,0,1,Management (evening attendance),1,22,27,1,32,2020,5,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,1,1,Social Service,9,22,27,1,47,2022,3,9,9,13.11111111,7,7,14.85714286,10.8,1.4,1.74,Graduate
5,0,1,Management (evening attendance),1,22,27,1,37,2022,5,5,5,13,5,4,13.33333333,16.2,0.3,-0.92,Dropout
2,0,14,Social Service (evening attendance),1,13,1,1,41,2019,3,10,10,12.5,7,7,12.14285714,10.8,1.4,1.74,Graduate
2,1,18,Agronomy,1,22,27,1,60,2022,5,18,18,14.11111111,13,13,14.23076923,15.5,2.8,-4.06,Graduate
2,1,1,Tourism,1,1,14,1,47,2018,3,11,11,14.72727273,9,9,15.77777778,10.8,1.4,1.74,Graduate
1,0,18,Social Service (evening attendance),1,22,9,1,50,2018,5,6,0,0,5,0,0,12.4,0.5,1.79,Dropout
2,0,8,Management (evening attendance),12,23,28,1,45,2022,5,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,1,3,Informatics Engineering,1,22,27,1,45,2021,3,5,0,0,5,0,0,15.5,2.8,-4.06,Dropout
2,1,1,Veterinary Nursing,1,22,27,1,33,2022,5,5,4,13.5,5,5,11.6,7.6,2.6,0.32,Graduate
1,1,8,Nursing,1,3,3,1,18,2022,3,8,7,13.10571429,8,7,13.10571429,10.8,1.4,1.74,Graduate
2,1,11,Veterinary Nursing,1,22,27,1,43,2022,3,5,5,13.5,5,5,14.4,9.4,-0.8,-3.12,Graduate
1,0,13,Social Service (evening attendance),1,13,27,1,44,2021,5,13,13,11.84615385,11,11,12,12.7,3.7,-1.7,Graduate
1,1,4,Equiniculture,7,19,26,1,29,2021,5,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
4,1,6,Advertising and Marketing Management,1,2,1,1,53,2021,5,6,3,14.33333333,6,0,0,12.7,3.7,-1.7,Dropout
2,0,3,Management (evening attendance),6,22,27,1,37,2021,5,5,5,15.8,5,5,17.6,9.4,-0.8,-3.12,Enrolled
1,1,1,Advertising and Marketing Management,1,23,1,1,18,2021,3,6,5,13.8,6,5,12.4,13.9,-0.3,0.79,Enrolled
1,1,14,Biofuel Production Technologies,12,23,28,1,35,2020,3,10,6,12.66666667,9,3,12,16.2,0.3,-0.92,Dropout
1,1,17,Tourism,1,13,1,1,23,2018,5,6,6,13,6,6,12,11.1,0.6,2.02,Enrolled
1,1,1,Animation and Multimedia Design,1,13,28,1,22,2019,3,0,0,0,0,0,0,7.6,2.6,0.32,Graduate
1,0,1,Social Service (evening attendance),1,22,27,1,33,2019,3,6,1,11,6,0,0,10.8,1.4,1.74,Dropout
1,1,21,Equiniculture,3,22,18,1,41,2019,5,5,0,0,5,0,0,10.8,1.4,1.74,Dropout
4,1,16,Nursing,3,22,28,1,51,2020,3,7,7,15.2,8,8,16.575,13.9,-0.3,0.79,Graduate
1,1,1,Advertising and Marketing Management,1,10,5,1,19,2020,5,6,6,14.42857143,7,7,14.375,11.1,0.6,2.02,Graduate
1,0,1,Management (evening attendance),1,22,27,1,35,2021,3,5,0,0,5,0,0,11.1,0.6,2.02,Dropout
1,1,3,Animation and Multimedia Design,1,13,1,1,20,2019,5,0,0,0,0,0,0,7.6,2.6,0.32,Graduate
1,1,1,Advertising and Marketing Management,1,3,2,1,18,2019,5,6,4,13.75,6,5,11.2,13.9,-0.3,0.79,Enrolled
1,1,1,Journalism and Communication,1,13,27,1,18,2018,5,6,5,12.16666667,6,3,12,13.9,-0.3,0.79,Dropout
1,1,10,Agronomy,14,2,1,1,21,2020,5,6,5,12.14285714,6,5,11.66666667,13.9,-0.3,0.79,Graduate
1,1,4,Tourism,1,1,14,1,21,2019,3,6,6,12,6,5,11.6,13.9,-0.3,0.79,Graduate
2,1,10,Management,1,13,27,1,34,2018,3,5,3,11.66666667,5,4,12.75,9.4,-0.8,-3.12,Graduate
4,1,1,Equiniculture,1,22,27,1,34,2018,5,6,0,0,6,0,0,16.2,0.3,-0.92,Dropout
1,1,14,Advertising and Marketing Management,1,3,3,1,21,2020,3,6,6,11.875,6,5,12,11.1,0.6,2.02,Graduate
1,1,1,Journalism and Communication,1,3,27,1,32,2019,5,11,7,11.28571429,7,6,12.33333333,13.9,-0.3,0.79,Enrolled
1,1,1,Tourism,1,22,27,1,30,2021,3,6,2,10,6,3,11.33333333,7.6,2.6,0.32,Dropout
1,1,10,Animation and Multimedia Design,1,1,3,1,19,2021,3,12,11,12,11,10,11.18181818,8.9,1.4,3.51,Enrolled
1,1,14,Journalism and Communication,1,1,14,1,20,2021,3,7,6,13.83333333,6,5,13,8.9,1.4,3.51,Dropout
1,1,11,Communication Design,1,13,14,1,18,2022,3,6,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,1,Tourism,1,3,3,1,19,2022,3,6,6,14.42857143,6,6,12.5,8.9,1.4,3.51,Graduate
1,1,1,Nursing,1,3,3,1,18,2020,3,7,5,14.2,7,6,12.4,12.4,0.5,1.79,Dropout
1,0,1,Management (evening attendance),1,1,14,1,27,2022,3,5,4,11.5,5,3,10.33333333,12.7,3.7,-1.7,Dropout
1,1,5,Journalism and Communication,9,1,1,1,52,2019,3,6,5,13,6,6,15,9.4,-0.8,-3.12,Graduate
2,1,12,Agronomy,1,1,1,1,29,2020,3,6,0,0,6,0,0,15.5,2.8,-4.06,Dropout
1,1,10,Agronomy,14,1,14,1,22,2022,3,6,3,11.33333333,6,2,11,8.9,1.4,3.51,Dropout
1,1,1,Veterinary Nursing,1,23,28,1,28,2019,5,18,18,12.5,13,12,11.42857143,15.5,2.8,-4.06,Graduate
1,1,16,Advertising and Marketing Management,6,1,1,1,30,2022,3,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,1,1,Nursing,1,1,1,0,18,2019,3,7,7,13.47142857,8,8,13.94444444,16.2,0.3,-0.92,Graduate
1,1,5,Advertising and Marketing Management,1,23,27,0,21,2018,5,5,4,11.75,5,3,13.33333333,9.4,-0.8,-3.12,Graduate
1,1,21,Communication Design,1,22,27,0,20,2019,3,6,6,13.33333333,6,6,14.66666667,12.7,3.7,-1.7,Graduate
1,1,1,Nursing,1,22,27,0,21,2018,5,8,8,13.105,8,8,13.105,9.4,-0.8,-3.12,Graduate
2,0,1,Management (evening attendance),12,13,27,0,32,2020,5,5,0,0,5,0,0,10.8,1.4,1.74,Dropout
1,1,6,Communication Design,1,22,27,1,20,2022,5,6,6,15.5,6,6,12.16666667,12.4,0.5,1.79,Graduate
1,1,21,Animation and Multimedia Design,1,1,14,1,19,2021,3,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
1,1,1,Advertising and Marketing Management,1,1,1,1,18,2020,5,6,4,11.25,6,3,12.33333333,8.9,1.4,3.51,Dropout
1,0,1,Management (evening attendance),1,22,2,1,23,2020,5,15,12,11,14,11,11.36363636,7.6,2.6,0.32,Dropout
1,1,1,Tourism,1,1,1,1,20,2021,3,6,6,12.33333333,6,4,13,12.4,0.5,1.79,Graduate
2,1,21,Management,1,22,27,0,46,2021,3,9,8,11.375,5,5,11.8,9.4,-0.8,-3.12,Graduate
1,1,6,Agronomy,1,3,3,1,27,2022,3,18,18,12.22222222,12,12,12.38461538,15.5,2.8,-4.06,Graduate
1,1,10,Animation and Multimedia Design,1,3,14,1,20,2018,3,0,0,0,0,0,0,16.2,0.3,-0.92,Enrolled
2,0,1,Social Service (evening attendance),12,22,27,1,41,2021,5,9,9,12,7,6,12,9.4,-0.8,-3.12,Graduate
1,1,1,Management,1,1,3,1,40,2018,3,5,1,11,5,1,10,11.1,0.6,2.02,Enrolled
2,0,13,Social Service (evening attendance),14,1,1,1,37,2020,5,16,16,14.125,11,10,13,12.4,0.5,1.79,Graduate
1,1,17,Management,1,23,28,1,20,2021,5,5,5,10.2,5,5,11.2,12.4,0.5,1.79,Enrolled
1,1,1,Equiniculture,14,1,1,0,20,2020,5,5,4,12,5,4,12.4,10.8,1.4,1.74,Enrolled
1,0,1,Management (evening attendance),15,1,27,0,26,2022,5,9,9,12.33333333,7,7,12.57142857,12.4,0.5,1.79,Graduate
2,0,16,Social Service (evening attendance),1,22,27,1,54,2019,3,9,9,14.33333333,7,7,13.85714286,8.9,1.4,3.51,Graduate
1,1,1,Advertising and Marketing Management,1,13,14,1,21,2021,5,6,6,15.16666667,6,6,14,10.8,1.4,1.74,Graduate
1,1,2,Veterinary Nursing,1,1,1,0,20,2019,5,6,6,15.14285714,6,6,15.14285714,11.1,0.6,2.02,Graduate
1,1,1,Journalism and Communication,1,1,14,0,18,2021,5,6,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,1,Nursing,1,1,14,0,19,2018,5,7,6,13.41142857,8,7,13.29444444,15.5,2.8,-4.06,Enrolled
1,1,1,Social Service,1,23,1,0,18,2021,5,6,6,12.33333333,6,6,12.16666667,9.4,-0.8,-3.12,Graduate
1,1,15,Veterinary Nursing,1,3,1,0,19,2021,5,6,4,11.8,6,4,12.2,12.4,0.5,1.79,Enrolled
1,1,13,Veterinary Nursing,14,1,1,0,22,2018,3,6,6,12,6,3,12,13.9,-0.3,0.79,Dropout
1,1,1,Veterinary Nursing,1,2,1,0,19,2019,5,6,6,15,6,6,15.625,12.4,0.5,1.79,Graduate
1,1,1,Animation and Multimedia Design,1,3,2,0,21,2021,3,12,8,13.875,11,9,12.7,8.9,1.4,3.51,Dropout
1,1,16,Basic Education,1,3,3,0,20,2018,5,7,6,11.83333333,7,6,14.33333333,11.1,0.6,2.02,Enrolled
1,1,1,Journalism and Communication,1,1,14,0,18,2019,3,6,6,12.5,6,6,13.83333333,16.2,0.3,-0.92,Graduate
1,1,16,Journalism and Communication,1,23,28,0,18,2022,3,6,6,15,6,6,15.5,8.9,1.4,3.51,Graduate
1,1,1,Advertising and Marketing Management,1,1,1,0,20,2022,3,6,2,11.66666667,6,4,10.5,15.5,2.8,-4.06,Dropout
1,1,4,Nursing,1,13,27,0,18,2018,3,7,7,14.668,8,8,14.63375,15.5,2.8,-4.06,Graduate
1,1,9,Nursing,1,3,3,0,18,2020,3,8,6,13.345,8,6,13.345,9.4,-0.8,-3.12,Enrolled
1,1,1,Journalism and Communication,1,1,24,0,20,2021,5,6,5,12.8,6,6,12.33333333,12.4,0.5,1.79,Graduate
1,1,1,Social Service,1,1,1,0,19,2018,3,6,6,10.83333333,6,6,12.14285714,11.1,0.6,2.02,Graduate
1,1,3,Communication Design,1,3,3,0,18,2021,5,6,6,13.66666667,6,5,14,12.7,3.7,-1.7,Graduate
1,1,8,Nursing,1,3,1,0,18,2019,5,8,7,14.53714286,8,7,14.53714286,10.8,1.4,1.74,Graduate
1,1,1,Veterinary Nursing,1,22,27,0,18,2020,3,5,5,14.4,5,5,14,7.6,2.6,0.32,Dropout
1,1,1,Animation and Multimedia Design,1,13,1,0,20,2022,5,0,0,0,0,0,0,12.7,3.7,-1.7,Graduate
1,1,11,Journalism and Communication,1,1,14,0,19,2020,3,6,6,13.16666667,6,6,13.83333333,11.1,0.6,2.02,Graduate
1,1,8,Nursing,1,3,3,1,36,2021,5,6,2,11.5,7,0,0,15.5,2.8,-4.06,Dropout
1,1,15,Social Service,1,1,30,0,19,2020,5,6,6,11.33333333,6,6,12.42857143,11.1,0.6,2.02,Graduate
1,1,1,Social Service,1,3,1,0,18,2018,5,6,6,12,6,5,13.6,8.9,1.4,3.51,Graduate
1,1,1,Journalism and Communication,1,13,14,0,18,2022,5,6,6,13.16666667,6,6,12.16666667,12.4,0.5,1.79,Graduate
1,1,15,Journalism and Communication,1,23,28,0,18,2021,5,6,6,14.83333333,6,6,14.16666667,8.9,1.4,3.51,Graduate
1,1,20,Communication Design,1,1,1,0,19,2018,3,7,7,13,9,9,13.22222222,12.4,0.5,1.79,Graduate
1,1,1,Nursing,1,1,1,0,18,2018,5,7,7,13.08714286,8,8,12.95,11.1,0.6,2.02,Graduate
1,1,14,Equiniculture,1,1,27,0,19,2021,5,6,6,13.33333333,6,6,13.66666667,8.9,1.4,3.51,Graduate
1,1,1,Basic Education,1,3,1,0,18,2020,3,6,6,12.16666667,6,4,12.75,10.8,1.4,1.74,Enrolled
1,1,1,Communication Design,16,25,14,0,22,2022,3,6,6,11,6,4,12,8.9,1.4,3.51,Enrolled
1,1,1,Social Service,1,13,1,0,18,2022,5,6,0,0,6,0,0,11.1,0.6,2.02,Dropout
1,1,1,Management,1,13,14,0,19,2020,5,5,5,13.6,5,5,12.2,8.9,1.4,3.51,Graduate
1,1,2,Journalism and Communication,1,23,28,0,18,2019,3,6,6,15.5,6,6,14,11.1,0.6,2.02,Graduate
1,1,8,Basic Education,1,1,3,0,19,2019,5,7,7,13.85714286,7,7,14.28571429,11.1,0.6,2.02,Graduate
1,1,1,Management,1,13,1,0,20,2018,5,5,2,11.5,5,3,10,11.1,0.6,2.02,Enrolled
1,1,18,Communication Design,1,1,28,0,18,2020,3,6,6,13,6,6,12.16666667,16.2,0.3,-0.92,Graduate
1,1,1,Equiniculture,1,3,3,0,23,2018,5,6,6,14,6,4,13,11.1,0.6,2.02,Enrolled
1,1,1,Journalism and Communication,1,1,3,0,20,2021,5,4,0,0,6,0,0,8.9,1.4,3.51,Dropout
1,1,13,Communication Design,1,3,1,0,20,2018,5,6,6,11.16666667,6,6,11.5,12.4,0.5,1.79,Enrolled
1,1,14,Social Service,1,1,1,0,22,2021,3,6,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,1,Basic Education,1,13,28,0,18,2021,3,7,7,12.14285714,7,6,13.66666667,11.1,0.6,2.02,Graduate
1,1,1,Nursing,1,13,28,0,18,2022,5,7,7,14.14571429,8,8,13.62777778,11.1,0.6,2.02,Graduate
1,1,12,Nursing,1,3,4,0,18,2021,3,7,7,14.45,8,8,14.14444444,11.1,0.6,2.02,Graduate
1,1,1,Basic Education,1,13,3,0,18,2018,3,7,7,15.71428571,7,7,15,11.1,0.6,2.02,Graduate
1,1,1,Management,1,1,1,0,21,2020,3,5,5,12.8,5,3,12.66666667,11.1,0.6,2.02,Enrolled
1,1,1,Communication Design,1,1,27,0,20,2022,3,6,6,12.5,6,6,11.5,10.8,1.4,1.74,Enrolled
1,1,14,Communication Design,1,1,1,0,18,2019,5,6,6,14.5,6,6,12.83333333,12.4,0.5,1.79,Graduate
1,1,17,Nursing,1,13,27,0,20,2022,5,7,7,13.46285714,8,7,13.16428571,11.1,0.6,2.02,Enrolled
1,0,9,Social Service (evening attendance),1,19,27,0,25,2019,3,6,6,12.83333333,6,6,12.83333333,7.6,2.6,0.32,Graduate
